Mental Model,Category,Subcategory,Type,Key Application,Description,Sources,Is Duplicate,Wikipedia URL
Sunk-Cost Fallacy,"Biases, Fallacies & Effects",Reasoning Fallacies,Decision Bias,,Continuing action due to past investment rather than future value,99 Mental Models; 99 Mental Models Site; 99mentalmodels.com; Behavioral Economics; Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Sunk_cost_fallacy
Super Mario Effect,Comprehensive List,General,Mental Model,,,99 Mental Models,No,
Supply and Demand,Economics and Art,Economics,Economic Principle,,Market price determined by relationship between supply and demand,Economics; Great Mental Models Vol 4; Shane Parrish; Shane Parrish (TGMM Vol 4); Shane Parrish Vol 4,No,https://en.wikipedia.org/wiki/Supply_and_demand
Supply & Demand,Comprehensive,General,Mental Model,,,80 Useful Mental Models; 80 Useful Mental Models Blog; hptbydts.com,No,https://en.wikipedia.org/wiki/Supply_%26_Demand
Surface Area,Systems and Mathematics,Mathematics,Mathematical Concept,,Points of contact matter,Great Mental Models Vol 3; Shane Parrish; Shane Parrish Vol 3,No,https://en.wikipedia.org/wiki/Surface_Area
Survival is the Starting Point,Finance & Psychology,Financial Behavior,Behavioral Model,,,Morgan Housel; The Psychology of Money,No,
Survivorship Bias,"Biases, Fallacies & Effects",Selection & Data Biases,Cognitive Bias,,Focusing on survivors while ignoring failures skews understanding,99 Mental Models; Cognitive Psychology; Gabriel Weinberg & Lauren McCann; History; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Survivorship_bias
Swim Lane Theory,Comprehensive List,General,Mental Model,,,99 Mental Models,No,
Symbolism,Economics and Art,Art,Art Concept,,Objects represent concepts,Great Mental Models Vol 4; Shane Parrish; Shane Parrish Vol 4,No,https://en.wikipedia.org/wiki/Symbolism
System 1 (Fast),Cognitive Systems,Automatic Thinking,Cognitive Model,,,"Daniel Kahneman; Thinking, Fast and Slow",No,
"System 1 Thinking (Fast, Intuitive, Emotional)",Cognitive Psychology,Decision Making,Cognitive Model,,,"Daniel Kahneman; Thinking, Fast and Slow",No,
System 1 vs System 2 Thinking,Cognitive Psychology,,Cognitive Model,,"System 1: fast, intuitive, emotional thinking. System 2: slow, deliberate, logical","Daniel Kahneman (Thinking, Fast and Slow)",No,
System 2 (Slow),Cognitive Systems,Deliberate Thinking,Cognitive Model,,,"Daniel Kahneman; Thinking, Fast and Slow",No,https://en.wikipedia.org/wiki/Systems_of_Logic_Based_on_Ordinals
"System 2 Thinking (Slow, Deliberative, Logical)",Cognitive Psychology,Decision Making,Cognitive Model,,,"Daniel Kahneman; Thinking, Fast and Slow",No,
Systemize Decision Making,Decisions,Process,Framework,,,Principles; Ray Dalio,No,
Systems Over Goals,Systems,Goals,Systems Model,,,Atomic Habits; James Clear,No,
Systems Thinking,Decision Making & Psychology,Key Principles,Framework,,Understand how parts interact to create emergent behaviors in complex wholes,Atul Gawande; Clear Thinking; Gabriel Weinberg & Lauren McCann; Principles; Ray Dalio; Ray Dalio (Principles); Shane Parrish; Shane Parrish (TGMM Vol 3); Shane Parrish: Clear Thinking; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Systems_thinking
Systems Thinking (Clear Thinking),Holistic Analysis,,Framework,,Understand interconnections,Clear Thinking,No,
Tendency to Minimize Energy,Biology & Efficiency,,Biological Principle,,Natural inclination efficiency,Shane Parrish Vol 2,No,
Tendency to Minimize Energy Output,"Physics, Chemistry, Biology",Biology,Natural System,,,Great Mental Models Vol 2; Shane Parrish; Shane Parrish Vol 2,No,
Texas Sharpshooter Fallacy,"Biases, Fallacies & Effects",Reasoning Fallacies,Fallacy,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Texas_sharpshooter_fallacy
The 4 Cores of Credibility / Speed of Trust Framework,Comprehensive List,General,Mental Model,,,80 Useful Mental Models,No,
The 5-Step Process,Decision Making,Five-Step Process,Process Framework,,Goals → Problems → Root Causes → Solutions → Implementation Plan,Principles; Problem-Solving; Ray Dalio; Ray Dalio (Principles),No,
The 5 Whys,Comprehensive List,General,Mental Model,,,99 Mental Models,No,https://en.wikipedia.org/wiki/The_5_Whys
The 5 W's (And 1 H),Comprehensive List,General,Mental Model,,,80 Useful Mental Models,No,
The Art of Learning,Learning & Growth,Learning Framework,Learning Model,,,Josh Waitzkin; The Art of Learning,No,
The Bridge Problem,Comprehensive List,General,Mental Model,,,99 Mental Models,No,
The Checklist,Process,Complexity Management,Process Framework,,,Atul Gawande; The Checklist Manifesto,No,https://en.wikipedia.org/wiki/The_Checklist
The Curse of Knowledge,Comprehensive List,General,Mental Model,,,80 Useful Mental Models,No,https://en.wikipedia.org/wiki/The_curse_of_knowledge
The Definition Principle,Decision Making & Psychology,Key Principles,Principle,,Clearly define before solving,Clear Thinking; Shane Parrish; Shane Parrish: Clear Thinking,No,
The Ego Default,Decision Making & Psychology,Defaults/Enemies,Decision Trap,,Reacting to self-worth threats,Clear Thinking; Shane Parrish; Shane Parrish: Clear Thinking,No,
The Eisenhower Matrix,Comprehensive List,General,Mental Model,,,99 Mental Models,No,
The Emotion Default,Decision Making & Psychology,Defaults/Enemies,Decision Trap,,Responding to feelings,Clear Thinking; Shane Parrish; Shane Parrish: Clear Thinking,No,
The Five-Step Process,Business & Life,Decision Making,Decision Framework,,,Principles; Ray Dalio,No,
The Forgetting Curve,Comprehensive List,General,Mental Model,,,80 Useful Mental Models,No,
The Golden Mean,Comprehensive List,General,Mental Model,,,80 Useful Mental Models,No,https://en.wikipedia.org/wiki/The_Golden_Mean
The Golden Rule,Comprehensive List,General,Mental Model,,,80 Useful Mental Models,No,https://en.wikipedia.org/wiki/The_Golden_Rule
"The Habit Loop (Cue, Routine, Reward)",Habit Formation,Behavior Design,Habit Model,,,Atomic Habits; James Clear,No,
The Inertia Default,Decision Making & Psychology,Defaults/Enemies,Decision Trap,,Preferring familiarity change,Clear Thinking; Shane Parrish; Shane Parrish: Clear Thinking,No,
The Law of Diminishing Returns,Systems and Mathematics,Mathematics,Mathematical Principle,,,Great Mental Models Vol 3; Shane Parrish; Shane Parrish Vol 3,No,https://en.wikipedia.org/wiki/The_law_of_diminishing_returns
The Law of Non-Contradiction,Comprehensive List,General,Mental Model,,,80 Useful Mental Models,No,https://en.wikipedia.org/wiki/The_Law_of_Non-Contradiction
The Magic Ratio,Comprehensive List,General,Mental Model,,,80 Useful Mental Models,No,
The Map is not the Territory,General Thinking Concepts,Fundamental Frameworks,Framework,,Our mental representations of reality are not reality itself; the map differs from the territory,Great Mental Models Vol 1; Great Mental Models Vol 1-4; Shane Parrish; Shane Parrish (TGMM Vol 1); Shane Parrish Vol 1; SuperThinking; SuperThinking (Weinberg & McCann),No,https://en.wikipedia.org/wiki/The_map_is_not_the_territory
The Matter of Degree Versus Kind,Comprehensive List,General,Mental Model,,,80 Useful Mental Models,No,
Theory of Constraints,Comprehensive List,General,Mental Model,,,99 Mental Models,No,https://en.wikipedia.org/wiki/Theory_of_constraints
The Pareto Principle,Comprehensive List,General,Mental Model,,,99 Mental Models,No,
The Peter Principle,Comprehensive List,General,Mental Model,,,99 Mental Models,No,https://en.wikipedia.org/wiki/The_Peter_Principle
The Placebo Effect,Comprehensive List,General,Mental Model,,,80 Useful Mental Models,No,https://en.wikipedia.org/wiki/The_Placebo_Effect
The Platinum Rule,Comprehensive List,General,Mental Model,,,80 Useful Mental Models,No,https://en.wikipedia.org/wiki/The_Platinum_Rule
The Reasonable Person,Comprehensive List,General,Mental Model,,,80 Useful Mental Models,No,
Thermodynamics,"Physics, Chemistry, Biology",Physics,Physics Principle,,Energy conservation and entropy principles apply to many systems,99 Mental Models; Great Mental Models Vol 2; Shane Parrish; Shane Parrish (TGMM Vol 2); Shane Parrish Vol 2,No,https://en.wikipedia.org/wiki/Thermodynamics
The Root Cause Principle,Decision Making & Psychology,Key Principles,Principle,,Find root not surface,Clear Thinking; Shane Parrish; Shane Parrish: Clear Thinking,No,
The Social Default,Decision Making & Psychology,Defaults/Enemies,Decision Trap,,Conforming to group norms,Clear Thinking; Shane Parrish; Shane Parrish: Clear Thinking,No,
The Socratic Method,Comprehensive List,General,Mental Model,,,80 Useful Mental Models,No,https://en.wikipedia.org/wiki/The_Socratic_Method
Things Don't Always Go As Planned (Robert Burns),"Laws, Principles & Razors",Principles,Principle,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,
Thinking Gray,Key Concepts,Foundational Thinking,Framework,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Thinking_Rabbit
Thinking in Bets,Decision Quality,Probabilistic,Decision Framework,,Separate decision quality from luck; focus on process not just outcomes,Annie Duke; Annie Duke (Thinking in Bets); Thinking in Bets,No,
Thin-Slicing,Unconscious Cognition,Rapid Cognition,Cognitive Framework,,Make accurate judgments from minimal information using trained intuition,Blink; Malcolm Gladwell; Malcolm Gladwell (Blink),No,https://en.wikipedia.org/wiki/Thin-slicing
Thought Experiment,General Thinking Concepts,Fundamental Frameworks,Method,,Mental simulation to test ideas,Great Mental Models Vol 1; Shane Parrish; Shane Parrish Vol 1,No,https://en.wikipedia.org/wiki/Thought_experiment
Three Components of Behavior,Components,Motivation,Behavioral Framework,,,BJ Fogg; Tiny Habits,No,
Tilt,Business & Entrepreneurship,Business Models,Business Model,,,Kevin Espiritu; Mental Models for Business,No,https://en.wikipedia.org/wiki/Tilt
Time Frame Matters,Investing,Time,Temporal Framework,,,Morgan Housel; Psychology of Money; The Psychology of Money,No,
Tiny Habits,Habit Formation,Habit Formation,Behavioral Framework,,Start with micro-behaviors and anchor to existing routines for success,BJ Fogg; BJ Fogg (Tiny Habits); Tiny Habits,No,https://en.wikipedia.org/wiki/Tiny_Habits
Tiny Habits Framework,Habits,Formation,Behavioral Framework,,,BJ Fogg; Tiny Habits,No,
Tipping Point,Key Concepts,System & Natural Dynamics,Social Model,,"The moment when an idea, behavior, or product crosses threshold and spreads",99 Mental Models; Gabriel Weinberg & Lauren McCann; Malcolm Gladwell; Malcolm Gladwell (The Tipping Point); SuperThinking; SuperThinking (Weinberg/McCann); The Tipping Point,No,https://en.wikipedia.org/wiki/Tipping_Point
Tool-Based Approach to Complexity,Systems & Complexity,Process Management,Process Framework,,,Atul Gawande; The Checklist Manifesto,No,
Tool vs. Goal Fallacy,Comprehensive List,General,Mental Model,,,99 Mental Models,No,
Trade-Offs,Comprehensive,General,Mental Model,,,80 Useful Mental Models; 80 Useful Mental Models Blog; hptbydts.com,No,https://en.wikipedia.org/wiki/Trade-off
Tragedy of the Commons,Key Concepts,Foundational Thinking,Economic Model,,Individual incentives lead to collective overuse of shared resources,99 Mental Models; Economics; Gabriel Weinberg & Lauren McCann; Garrett Hardin; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Tragedy_of_the_commons
Trained Intuition,Unconscious Cognition,Expert Intuition,Cognitive Model,,,Blink; Malcolm Gladwell,No,
Trained Intuition of Experts,Unconscious Cognition,Decision Making,Cognitive Model,,,Blink; Malcolm Gladwell,No,
Two Pizza Rule,Comprehensive List,General,Mental Model,,,99 Mental Models,No,
Tyranny of Small Decisions,Key Concepts,Foundational Thinking,Framework,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Tyranny_of_small_decisions
Unconscious Bias (Warren Harding Error),Unconscious Cognition,Decision Making,Cognitive Model,,,Blink; Malcolm Gladwell,No,
Universal Principles,Comprehensive List,General,Mental Model,,,80 Useful Mental Models,No,
Unlearning,Learning & Change,Mental Updating,Learning Framework,,Actively question and update outdated beliefs based on new evidence,Adam Grant; Adam Grant (Think Again); Think Again,No,https://en.wikipedia.org/wiki/Unlearning
Unlearning Past Beliefs,Learning & Change,Unlearning,Learning Model,,,Adam Grant; Think Again,No,
Us vs Them Thinking,Conflict & Psychology,Social Dynamics,Conflict Framework,,,Amanda Ripley; High Conflict,No,
Value Creation Drivers,Investment,Investing Frameworks,Investment Model,,,Expectations Investing / Skill & Luck; Michael Mauboussin,No,
Veil of Ignorance,Key Concepts,Foundational Thinking,Framework,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Veil_of_Ignorance
Velocity,"Physics, Chemistry, Biology",Physics,Physics Principle,,Speed with direction,Great Mental Models Vol 2; Shane Parrish; Shane Parrish Vol 2,No,https://en.wikipedia.org/wiki/Velocity
Velocity vs. Speed Problem,Comprehensive List,General,Mental Model,,,99 Mental Models,No,
Venn Diagram,Comprehensive List,General,Mental Model,,,80 Useful Mental Models,No,https://en.wikipedia.org/wiki/Venn_diagram
Via Negativa,Additional Frameworks,Problem Solving,Method,,,Cross-Source,No,https://en.wikipedia.org/wiki/Via_Negativa
Via Negativa (Define by subtraction),Additional Frameworks,Problem Solving,Framework,,,Cross-Source Frameworks; Multiple,No,
Warren Harding Error,Unconscious Cognition,Implicit Bias,Cognitive Bias,,,Blink; Malcolm Gladwell,No,
Widen Your Options,Widening,Expanding Options,Decision Framework,,,Chip & Dan Heath; Decisive,No,
Win-Win,Comprehensive List,General,Mental Model,,,80 Useful Mental Models,No,https://en.wikipedia.org/wiki/Win_Win_(film)
WRAP Decision Framework,Decision Making,,Decision Framework,,"Widen options, Reality-test, Attain distance, Prepare to be wrong",Chip & Dan Heath (Decisive),No,
WRAP Decision Process,Decision Making,Decision Framework,Decision Model,,,Chip & Dan Heath; Decisive,No,
WRAP Framework,Decision Process,Framework,Decision Model,,,Chip & Dan Heath; Decisive,No,
Zeigarnik Effect,Comprehensive List,General,Mental Model,,,99 Mental Models,No,https://en.wikipedia.org/wiki/Zeigarnik_effect
